time,location,lat,lon,aqi,pm2_5,pm10,no2,o3,so2,nh3,temp,humidity,wind
2025-09-25 21:08:33.005870,Vasant Kunj,28.527,77.15,125,125,71,18.9,10,7.4,0,26.72,78,1.03
2025-09-25 21:08:33.948138,Delhi University,28.6863,77.209,154,154,92,16.9,4.5,7.5,0,27.07,78,1.03
2025-09-25 22:08:04.334182,Connaught Place,28.6315,77.2167,152,152,78,6,4.2,4.2,0,27.06,78,1.03
2025-09-25 22:08:05.047913,Karol Bagh,28.6517,77.1907,152,152,78,6,4.2,4.2,0,26.97,78,1.03
2025-09-25 22:08:05.767040,Chandni Chowk,28.6562,77.23,152,152,78,6,4.2,4.2,0,27.01,78,1.03
2025-09-25 22:08:06.605466,Dwarka,28.5921,77.046,151,151,89,15.7,3.7,6.6,0,27.1,78,1.03
2025-09-25 22:08:07.332199,Saket,28.5245,77.2066,105,105,63,16.5,8.9,8.2,0,26.98,78,1.03
2025-09-25 22:08:08.029470,Rohini,28.736,77.12,97,97,73,2.4,23.6,1.4,0,27.06,78,1.03
2025-09-25 22:08:08.762223,Lajpat Nagar,28.5672,77.2433,99,99,62,4.2,7.8,1.8,0,27.08,78,1.03
2025-09-25 22:08:09.494123,Mayur Vihar,28.6034,77.29,93,93,77,6.8,9.4,4.5,0,27.14,78,1.03
2025-09-25 22:08:10.189177,Vasant Kunj,28.527,77.15,105,105,63,16.5,8.9,8.2,0,26.72,78,1.03
2025-09-25 22:08:10.894344,Delhi University,28.6863,77.209,141,141,93,15.4,3.8,3.4,0,27.07,78,1.03
2025-09-25 23:09:10.809644,Connaught Place,28.6315,77.2167,74,74,62,4.9,8.8,2.2,0,29.49,46,1.16
2025-09-25 23:09:11.412721,Karol Bagh,28.6517,77.1907,74,74,62,4.9,8.8,2.2,0,29.43,46,1.18
2025-09-25 23:09:12.016480,Chandni Chowk,28.6562,77.23,74,74,62,4.9,8.8,2.2,0,29.49,46,1.16
2025-09-25 23:09:12.675932,Dwarka,28.5921,77.046,87,87,76,18.8,5.5,5.6,0,29.12,48,1.5
2025-09-25 23:09:13.274993,Saket,28.5245,77.2066,97,97,57,13.9,10.2,5.8,0,29.84,45,1.13
2025-09-25 23:09:13.875268,Rohini,28.736,77.12,89,89,71,2.4,11.6,1.5,0,28.42,49,1.37
2025-09-25 23:09:14.484560,Lajpat Nagar,28.5672,77.2433,97,97,60,5,5.6,2.9,0,29.97,45,1.05
2025-09-25 23:09:15.100638,Mayur Vihar,28.6034,77.29,90,90,73,0,8.7,4.7,0,29.68,46,1.11
2025-09-25 23:09:15.707448,Vasant Kunj,28.527,77.15,97,97,57,13.9,10.2,5.8,0,29.51,46,1.33
2025-09-25 23:09:16.334669,Delhi University,28.6863,77.209,121,121,85,13.4,3.3,4.9,0,29.28,47,1.21
2025-09-26 00:43:02.810256,Connaught Place,28.6315,77.2167,122,122,62,4.3,1.6,2.4,0,29,47,2.08
2025-09-26 00:43:03.321361,Karol Bagh,28.6517,77.1907,122,122,62,4.3,1.6,2.4,0,28.89,47,2.1
2025-09-26 00:43:03.834087,Chandni Chowk,28.6562,77.23,122,122,62,4.3,1.6,2.4,0,29,47,2.08
2025-09-26 00:43:04.667645,Dwarka,28.5921,77.046,129,129,79,15.6,4.4,5.6,0,28.38,49,2.25
2025-09-26 00:43:05.177045,Saket,28.5245,77.2066,108,108,66,14,7.7,6.5,0,29.18,47,2.08
2025-09-26 00:43:05.946096,Rohini,28.736,77.12,151,151,82,4.7,11.9,2.1,0,27.85,51,2.02
2025-09-26 00:43:06.453264,Lajpat Nagar,28.5672,77.2433,102,102,57,4.6,5.5,5.6,0,29.39,46,2.02
2025-09-26 00:43:06.967029,Mayur Vihar,28.6034,77.29,90,90,76,0,1.7,4.6,0,29.23,47,2.02
2025-09-26 00:43:07.485546,Vasant Kunj,28.527,77.15,108,108,66,14,7.7,6.5,0,28.79,48,2.2
2025-09-26 00:43:07.998692,Delhi University,28.6863,77.209,122,122,76,11.5,3.7,4.3,0,28.83,48,2.07
2025-09-26 02:17:11.839410,Connaught Place,28.6315,77.2167,139,139,68,4.1,4.7,3.2,0,29.32,44,2.52
2025-09-26 02:17:12.348702,Karol Bagh,28.6517,77.1907,139,139,68,4.1,4.7,3.2,0,29.19,45,2.53
2025-09-26 02:17:12.863924,Chandni Chowk,28.6562,77.23,139,139,68,4.1,4.7,3.2,0,29.32,44,2.52
2025-09-26 02:17:13.377571,Dwarka,28.5921,77.046,122,122,77,15.3,3.8,5.6,0,28.8,48,2.45
2025-09-26 02:17:13.884984,Saket,28.5245,77.2066,122,122,67,14.4,8.2,7.3,0,29.52,45,2.56
2025-09-26 02:17:14.408688,Rohini,28.736,77.12,161,161,93,4.3,10.9,1.7,0,28.27,49,2.42
2025-09-26 02:17:14.920557,Lajpat Nagar,28.5672,77.2433,107,107,64,5.1,4.5,5.4,0,29.73,44,2.54
2025-09-26 02:17:15.444872,Mayur Vihar,28.6034,77.29,102,102,83,0,1.9,4.5,0,29.62,44,2.5
2025-09-26 02:17:15.952853,Vasant Kunj,28.527,77.15,122,122,67,14.4,8.2,7.3,0,29.14,46,2.55
2025-09-26 02:17:16.477275,Delhi University,28.6863,77.209,154,154,82,13.3,3.5,3.8,0,29.18,45,2.51
2025-09-26 03:25:21.392714,Connaught Place,28.6315,77.2167,89,89,58,4,14.9,3.7,0,28.06,78,3.09
2025-09-26 03:25:22.102238,Karol Bagh,28.6517,77.1907,89,89,58,4,14.9,3.7,0,28.01,78,3.09
2025-09-26 03:25:22.790478,Chandni Chowk,28.6562,77.23,89,89,58,4,14.9,3.7,0,28.01,78,3.09
2025-09-26 03:25:23.474392,Dwarka,28.5921,77.046,109,109,82,15.5,4.6,5.6,0,28.1,78,3.09
2025-09-26 03:25:24.473539,Saket,28.5245,77.2066,152,152,78,16.8,7.4,8,0,27.98,78,3.09
2025-09-26 03:25:25.221245,Rohini,28.736,77.12,147,147,90,4.2,11.2,2.1,0,28.06,78,3.09
2025-09-26 03:25:26.185917,Lajpat Nagar,28.5672,77.2433,155,155,82,5,6.9,5.1,0,28.08,78,3.09
2025-09-26 03:25:26.860060,Mayur Vihar,28.6034,77.29,102,102,81,0,2.7,4.7,0,28.14,78,3.09
2025-09-26 03:25:27.551984,Vasant Kunj,28.527,77.15,152,152,78,16.8,7.4,8,0,27.72,78,3.09
2025-09-26 03:25:28.222375,Delhi University,28.6863,77.209,149,149,90,11.7,5.5,5.8,0,28.07,78,3.09
2025-09-26 04:11:55.851662,Connaught Place,28.6315,77.2167,85,50,85,6.4,23.5,1.8,0,32.32,36,3.15
2025-09-26 04:11:56.402719,Karol Bagh,28.6517,77.1907,85,50,85,6.4,23.5,1.8,0,32.2,37,3.1
2025-09-26 04:11:56.947340,Chandni Chowk,28.6562,77.23,85,50,85,6.4,23.5,1.8,0,32.32,36,3.15
2025-09-26 04:11:57.495667,Dwarka,28.5921,77.046,124,124,101,18,6.8,6.1,0,32.04,39,2.85
2025-09-26 04:11:58.038518,Saket,28.5245,77.2066,154,154,105,12.2,14.2,5.9,0,32.5,36,3.28
2025-09-26 04:11:58.592184,Rohini,28.736,77.12,152,152,95,4.2,13.2,2.3,0,31.7,39,2.95
2025-09-26 04:11:59.145156,Lajpat Nagar,28.5672,77.2433,144,144,87,3.9,17.6,4.7,0,32.68,36,3.27
2025-09-26 04:11:59.703814,Mayur Vihar,28.6034,77.29,114,114,88,0,11.4,5,0,32.66,36,3.23
2025-09-26 04:12:00.256265,Vasant Kunj,28.527,77.15,154,154,105,12.2,14.2,5.9,0,32.16,37,3.17
2025-09-26 04:12:00.811828,Delhi University,28.6863,77.209,148,148,100,9.3,9.7,8.7,0,32.28,37,3.13
2025-09-26 05:09:51.760156,Connaught Place,28.6315,77.2167,153,153,92,5.6,35.3,1.8,0,33.94,32,3.4
2025-09-26 05:09:52.372666,Karol Bagh,28.6517,77.1907,153,153,92,5.6,35.3,1.8,0,33.84,33,3.34
2025-09-26 05:09:52.976881,Chandni Chowk,28.6562,77.23,153,153,92,5.6,35.3,1.8,0,33.94,32,3.4
2025-09-26 05:09:53.584333,Dwarka,28.5921,77.046,129,129,118,15.6,17,6,0,33.77,34,3.14
2025-09-26 05:09:54.198005,Saket,28.5245,77.2066,148,148,102,8.5,27,3.3,0,34.14,32,3.42
2025-09-26 05:09:54.803682,Rohini,28.736,77.12,120,120,94,2.7,21.2,1.9,0,33.48,35,3.26
2025-09-26 05:09:55.409161,Lajpat Nagar,28.5672,77.2433,124,124,95,3.2,34,5.8,0,34.3,32,3.44
2025-09-26 05:09:56.011008,Mayur Vihar,28.6034,77.29,93,91,93,0,22.1,4.5,0,34.25,32,3.46
2025-09-26 05:09:56.616962,Vasant Kunj,28.527,77.15,148,148,102,8.5,27,3.3,0,33.81,33,3.33
2025-09-26 05:09:57.228717,Delhi University,28.6863,77.209,149,149,108,9.6,15.2,8.2,0,33.9,33,3.39
2025-09-26 06:14:46.305818,Connaught Place,28.6315,77.2167,167,167,92,5.7,43,2.5,0,34.06,49,5.14
2025-09-26 06:14:46.979021,Karol Bagh,28.6517,77.1907,167,167,92,5.7,43,2.5,0,33.97,49,5.14
2025-09-26 06:14:47.652353,Chandni Chowk,28.6562,77.23,167,167,92,5.7,43,2.5,0,34.01,49,5.14
2025-09-26 06:14:48.324002,Dwarka,28.5921,77.046,132,132,119,10.4,23.8,5.6,0,34.1,49,5.14
2025-09-26 06:14:49.007999,Saket,28.5245,77.2066,119,119,95,6.5,31.5,4.3,0,33.98,49,5.14
2025-09-26 06:14:49.677048,Rohini,28.736,77.12,116,116,93,1.9,29.8,1.9,0,34.06,49,5.14
2025-09-26 06:14:50.359152,Lajpat Nagar,28.5672,77.2433,112,112,88,2.7,43.5,6.3,0,34.08,49,5.14
2025-09-26 06:14:51.151898,Mayur Vihar,28.6034,77.29,104,104,98,0,28.9,4.8,0,34.14,49,5.14
2025-09-26 06:14:51.828177,Vasant Kunj,28.527,77.15,119,119,95,6.5,31.5,4.3,0,33.72,49,5.14
2025-09-26 06:14:52.497639,Delhi University,28.6863,77.209,142,142,104,6.9,19.4,7.7,0,34.07,49,5.14
2025-09-26 07:10:06.879255,Connaught Place,28.6315,77.2167,95,95,91,3.9,43.7,2.1,0,36.4,27,4.61
2025-09-26 07:10:07.400749,Karol Bagh,28.6517,77.1907,95,95,91,3.9,43.7,2.1,0,36.36,27,4.56
2025-09-26 07:10:07.934805,Chandni Chowk,28.6562,77.23,95,95,91,3.9,43.7,2.1,0,36.4,27,4.61
2025-09-26 07:10:08.446033,Dwarka,28.5921,77.046,98,95,98,10.7,21.7,5.6,0,36.43,27,4.45
2025-09-26 07:10:09.250646,Saket,28.5245,77.2066,119,119,95,6.5,31.5,4.3,0,36.53,26,4.63
2025-09-26 07:10:09.773150,Rohini,28.736,77.12,105,105,92,1.8,35.8,1.9,0,36.15,29,4.5
2025-09-26 07:10:10.296345,Lajpat Nagar,28.5672,77.2433,91,91,87,2.6,43.2,5.5,0,36.64,26,4.66
2025-09-26 07:10:10.803222,Mayur Vihar,28.6034,77.29,91,90,91,0,29.8,4.4,0,36.58,27,4.7
2025-09-26 07:10:11.726448,Vasant Kunj,28.527,77.15,119,119,95,6.5,31.5,4.3,0,36.31,26,4.56
2025-09-26 07:10:12.249067,Delhi University,28.6863,77.209,98,95,98,4.7,21.2,6.5,0,36.4,27,4.61
2025-09-26 08:13:39.713406,Connaught Place,28.6315,77.2167,79,9,79,2.9,39.9,1.9,0,35.06,43,3.09
2025-09-26 08:13:40.680786,Karol Bagh,28.6517,77.1907,79,9,79,2.9,39.9,1.9,0,34.97,43,3.09
2025-09-26 08:13:41.356416,Chandni Chowk,28.6562,77.23,79,9,79,2.9,39.9,1.9,0,35.01,43,3.09
2025-09-26 08:13:42.086847,Dwarka,28.5921,77.046,89,61,89,10.7,20.8,5.7,0,35.1,43,3.09
2025-09-26 08:13:42.771214,Saket,28.5245,77.2066,179,179,32,2.3,17.5,2.1,0,34.98,43,3.09
2025-09-26 08:13:43.751745,Rohini,28.736,77.12,92,92,89,1.8,37.1,1.8,0,35.06,43,3.09
2025-09-26 08:13:44.481385,Lajpat Nagar,28.5672,77.2433,102,102,86,2,46.1,4.6,0,35.08,43,3.09
2025-09-26 08:13:45.154751,Mayur Vihar,28.6034,77.29,87,74,87,7.4,31.9,4.5,0,35.14,43,3.09
2025-09-26 08:13:45.868825,Vasant Kunj,28.527,77.15,179,179,32,2.3,17.5,2.1,0,34.72,43,3.09
2025-09-26 08:13:46.537560,Delhi University,28.6863,77.209,110,110,102,4.4,21.9,7,0,35.07,43,3.09
2025-09-26 09:10:47.141599,Connaught Place,28.6315,77.2167,151,151,73,3.4,36.7,2.1,0,35.06,41,3.09
2025-09-26 09:10:47.810134,Karol Bagh,28.6517,77.1907,151,151,73,3.4,36.7,2.1,0,34.97,41,3.09
2025-09-26 09:10:48.478721,Chandni Chowk,28.6562,77.23,151,151,73,3.4,36.7,2.1,0,35.01,41,3.09
2025-09-26 09:10:49.169355,Dwarka,28.5921,77.046,96,76,96,8.2,23,5,0,35.1,41,3.09
2025-09-26 09:10:49.834419,Saket,28.5245,77.2066,178,178,30,2.3,20.3,2.3,0,34.98,41,3.09
2025-09-26 09:10:50.502794,Rohini,28.736,77.12,97,97,86,1.5,38,1.8,0,35.06,41,3.09
2025-09-26 09:10:51.176094,Lajpat Nagar,28.5672,77.2433,85,85,75,1.9,49.2,3.8,0,35.08,41,3.09
2025-09-26 09:10:51.882975,Mayur Vihar,28.6034,77.29,88,76,88,7.4,33.5,4.5,0,35.14,41,3.09
2025-09-26 09:10:52.553822,Vasant Kunj,28.527,77.15,178,178,30,2.3,20.3,2.3,0,34.72,41,3.09
2025-09-26 09:10:53.278300,Delhi University,28.6863,77.209,99,99,94,4.4,21.2,7,0,35.07,41,3.09
2025-09-26 10:10:08.237593,Connaught Place,28.6315,77.2167,139,139,85,3.6,46.4,2.8,0,37.27,25,5.14
2025-09-26 10:10:08.860898,Karol Bagh,28.6517,77.1907,139,139,85,3.6,46.4,2.8,0,37.25,25,5.13
2025-09-26 10:10:09.458882,Chandni Chowk,28.6562,77.23,139,139,85,3.6,46.4,2.8,0,37.27,25,5.14
2025-09-26 10:10:10.073005,Dwarka,28.5921,77.046,72,63,72,8.9,21.5,5.5,0,37.39,24,5.15
2025-09-26 10:10:10.680627,Saket,28.5245,77.2066,177,177,24,2.4,20,1.7,0,37.51,24,5.1
2025-09-26 10:10:11.316403,Rohini,28.736,77.12,78,77,78,1.5,39.5,1.6,0,36.93,27,5.15
2025-09-26 10:10:12.031230,Lajpat Nagar,28.5672,77.2433,75,74,75,1.9,53.4,4.9,0,37.57,24,5.13
2025-09-26 10:10:13.160580,Mayur Vihar,28.6034,77.29,81,76,81,7.4,33.9,4.5,0,37.42,25,5.19
2025-09-26 10:10:13.824536,Vasant Kunj,28.527,77.15,177,177,24,2.4,20,1.7,0,37.32,24,5.11
2025-09-26 10:10:14.443553,Delhi University,28.6863,77.209,93,93,88,4.4,23.1,7,0,37.22,26,5.14
2025-09-26 11:08:12.167045,Connaught Place,28.6315,77.2167,72,55,72,5,49.3,2.2,0,36.63,26,5.09
2025-09-26 11:08:12.802276,Karol Bagh,28.6517,77.1907,72,55,72,5,49.3,2.2,0,36.62,26,5.1
2025-09-26 11:08:13.308217,Chandni Chowk,28.6562,77.23,72,55,72,5,49.3,2.2,0,36.63,26,5.09
2025-09-26 11:08:13.824955,Dwarka,28.5921,77.046,72,55,72,9.4,25.7,5,0,36.77,25,5.13
2025-09-26 11:08:14.331941,Saket,28.5245,77.2066,169,169,20,3.3,19.2,1.8,0,36.92,25,5.04
2025-09-26 11:08:14.838503,Rohini,28.736,77.12,80,80,77,1.5,38.3,1.5,0,36.23,28,5.04
2025-09-26 11:08:15.352872,Lajpat Nagar,28.5672,77.2433,72,72,67,1.9,52.8,5.7,0,36.97,25,5.07
2025-09-26 11:08:15.861169,Mayur Vihar,28.6034,77.29,76,68,76,7.4,34,4.5,0,36.78,27,5.09
2025-09-26 11:08:16.366884,Vasant Kunj,28.527,77.15,169,169,20,3.3,19.2,1.8,0,36.74,25,5.06
2025-09-26 11:08:16.904887,Delhi University,28.6863,77.209,89,89,84,7.1,24.5,6.8,0,36.56,27,5.06
2025-09-26 12:18:05.827528,Connaught Place,28.6315,77.2167,67,25,67,7,40.9,1.5,0,34.06,43,4.12
2025-09-26 12:18:06.475516,Karol Bagh,28.6517,77.1907,67,25,67,7,40.9,1.5,0,33.97,43,4.12
2025-09-26 12:18:07.141046,Chandni Chowk,28.6562,77.23,67,25,67,7,40.9,1.5,0,34.01,43,4.12
2025-09-26 12:18:07.796011,Dwarka,28.5921,77.046,79,68,79,8.3,24.5,5.6,0,34.1,43,4.12
2025-09-26 12:18:08.449837,Saket,28.5245,77.2066,157,157,40,4.6,19.1,1.4,0,33.98,43,4.12
2025-09-26 12:18:09.092287,Rohini,28.736,77.12,80,80,77,1.3,36.3,1.4,0,34.06,43,4.12
2025-09-26 12:18:09.762734,Lajpat Nagar,28.5672,77.2433,85,85,71,2.2,44.7,5,0,34.08,43,4.12
2025-09-26 12:18:10.416146,Mayur Vihar,28.6034,77.29,75,56,75,7.4,35.1,4.5,0,34.14,43,4.12
2025-09-26 12:18:11.074695,Vasant Kunj,28.527,77.15,157,157,40,4.6,19.1,1.4,0,33.72,43,4.12
2025-09-26 12:18:11.732513,Delhi University,28.6863,77.209,101,101,84,6.4,24.5,6.9,0,34.07,43,4.12
2025-09-26 13:20:31.047535,Connaught Place,28.6315,77.2167,114,114,64,4.8,33.9,1.2,0,32.06,51,3.09
2025-09-26 13:20:31.702307,Karol Bagh,28.6517,77.1907,114,114,64,4.8,33.9,1.2,0,31.97,51,3.09
2025-09-26 13:20:32.356253,Chandni Chowk,28.6562,77.23,114,114,64,4.8,33.9,1.2,0,32.01,51,3.09
2025-09-26 13:20:33.007533,Dwarka,28.5921,77.046,76,65,76,11.6,22.4,6.2,0,32.1,51,3.09
2025-09-26 13:20:33.640760,Saket,28.5245,77.2066,85,85,70,4.7,16.8,1.2,0,31.98,51,3.09
2025-09-26 13:20:34.310250,Rohini,28.736,77.12,77,73,77,1.4,35,1.3,0,32.06,51,3.09
2025-09-26 13:20:34.986320,Lajpat Nagar,28.5672,77.2433,78,78,68,2.7,36.1,4.8,0,32.08,51,3.09
2025-09-26 13:20:35.879537,Mayur Vihar,28.6034,77.29,80,68,80,7.4,29.4,4.8,0,32.14,51,3.09
2025-09-26 13:20:37.276230,Vasant Kunj,28.527,77.15,85,85,70,4.7,16.8,1.2,0,31.72,51,3.09
2025-09-26 13:20:38.017648,Delhi University,28.6863,77.209,103,103,83,8.9,17.7,6,0,32.07,51,3.09
2025-09-26 14:08:37.711749,Connaught Place,28.6315,77.2167,97,97,86,8.2,32.5,2.5,0,31.07,55,2.57
2025-09-26 14:08:38.382785,Karol Bagh,28.6517,77.1907,97,97,86,8.2,32.5,2.5,0,30.97,55,2.57
2025-09-26 14:08:39.074103,Chandni Chowk,28.6562,77.23,97,97,86,8.2,32.5,2.5,0,31.01,55,2.57
2025-09-26 14:08:39.833689,Dwarka,28.5921,77.046,74,68,74,20.3,16.9,6,0,31.1,55,2.57
2025-09-26 14:08:41.167694,Saket,28.5245,77.2066,69,69,67,7.3,8.4,0.5,0,30.98,55,2.57
2025-09-26 14:08:41.863130,Rohini,28.736,77.12,82,78,82,2.8,31.7,1.4,0,31.06,55,2.57
2025-09-26 14:08:42.535882,Lajpat Nagar,28.5672,77.2433,83,74,83,4.9,24.9,5.7,0,31.08,55,2.57
2025-09-26 14:08:43.264062,Mayur Vihar,28.6034,77.29,85,62,85,7.4,29.4,4.6,0,31.14,55,2.57
2025-09-26 14:08:43.945418,Vasant Kunj,28.527,77.15,69,69,67,7.3,8.4,0.5,0,30.72,55,2.57
2025-09-26 14:08:44.613427,Delhi University,28.6863,77.209,100,100,86,10.5,16.1,6.3,0,31.07,55,2.57
2025-09-26 15:09:59.049836,Connaught Place,28.6315,77.2167,70,68,70,8.2,33.9,3.5,0,33.42,39,3.01
2025-09-26 15:09:59.578724,Karol Bagh,28.6517,77.1907,70,68,70,8.2,33.9,3.5,0,33.39,38,3.02
2025-09-26 15:10:00.098586,Chandni Chowk,28.6562,77.23,70,68,70,8.2,33.9,3.5,0,33.42,39,3.01
2025-09-26 15:10:00.610996,Dwarka,28.5921,77.046,90,78,90,30.5,7.8,6,0,33.37,38,3.09
2025-09-26 15:10:01.131085,Saket,28.5245,77.2066,76,76,69,9.9,5.1,0.5,0,33.8,37,3.13
2025-09-26 15:10:01.651134,Rohini,28.736,77.12,103,103,93,4.4,26.3,1.5,0,32.22,43,2.89
2025-09-26 15:10:02.231100,Lajpat Nagar,28.5672,77.2433,91,91,84,10.5,11.1,14.1,0,33.85,37,3.09
2025-09-26 15:10:03.255054,Mayur Vihar,28.6034,77.29,93,73,93,7.4,29.4,4.7,0,33.55,39,3.01
2025-09-26 15:10:03.783405,Vasant Kunj,28.527,77.15,76,76,69,9.9,5.1,0.5,0,33.66,36,3.15
2025-09-26 15:10:04.299364,Delhi University,28.6863,77.209,133,133,97,14.8,13.1,6.6,0,33.2,40,2.97
2025-09-26 16:11:45.328033,Connaught Place,28.6315,77.2167,74,9,74,6.9,20.1,4.7,0,32.71,40,2.64
2025-09-26 16:11:45.847807,Karol Bagh,28.6517,77.1907,74,9,74,6.9,20.1,4.7,0,32.7,40,2.64
2025-09-26 16:11:46.358472,Chandni Chowk,28.6562,77.23,74,9,74,6.9,20.1,4.7,0,32.71,40,2.64
2025-09-26 16:11:46.883209,Dwarka,28.5921,77.046,115,102,115,28,11.1,5.2,0,32.79,39,2.72
2025-09-26 16:11:47.392892,Saket,28.5245,77.2066,76,76,61,11.3,2.6,0.5,0,33.16,38,2.72
2025-09-26 16:11:47.900797,Rohini,28.736,77.12,139,139,107,7.5,13.6,1.6,0,31.59,44,2.52
2025-09-26 16:11:48.409459,Lajpat Nagar,28.5672,77.2433,181,181,122,9.6,11.7,5.7,0,33.19,39,2.69
2025-09-26 16:11:48.915200,Mayur Vihar,28.6034,77.29,102,102,100,7.4,29.4,4.7,0,32.86,41,2.64
2025-09-26 16:11:49.415447,Vasant Kunj,28.527,77.15,76,76,61,11.3,2.6,0.5,0,33.04,38,2.74
2025-09-26 16:11:49.919989,Delhi University,28.6863,77.209,138,138,97,18.5,9.3,6.2,0,32.49,41,2.61
2025-09-26 17:08:13.994400,Connaught Place,28.6315,77.2167,127,127,81,6.4,14.3,3.5,0,31.06,58,2.06
2025-09-26 17:08:14.649388,Karol Bagh,28.6517,77.1907,127,127,81,6.4,14.3,3.5,0,30.97,58,2.06
2025-09-26 17:08:15.270208,Chandni Chowk,28.6562,77.23,127,127,81,6.4,14.3,3.5,0,31.01,58,2.06
2025-09-26 17:08:15.912195,Dwarka,28.5921,77.046,121,112,121,24.9,11.8,5.2,0,31.1,58,2.06
2025-09-26 17:08:16.561040,Saket,28.5245,77.2066,70,70,54,10.2,2.1,0.5,0,30.98,58,2.06
2025-09-26 17:08:17.201178,Rohini,28.736,77.12,159,159,131,9,11,1.6,0,31.06,58,2.06
2025-09-26 17:08:17.820931,Lajpat Nagar,28.5672,77.2433,117,117,85,9.6,7.7,1.9,0,31.08,58,2.06
2025-09-26 17:08:18.474754,Mayur Vihar,28.6034,77.29,100,96,100,7.4,29.4,4.6,0,31.14,58,2.06
2025-09-26 17:08:19.115408,Vasant Kunj,28.527,77.15,70,70,54,10.2,2.1,0.5,0,30.72,58,2.06
2025-09-26 17:08:19.761427,Delhi University,28.6863,77.209,139,139,95,20.6,7.5,6.4,0,31.07,58,2.06
2025-09-26 18:12:28.455826,Connaught Place,28.6315,77.2167,162,162,77,7,17.5,1.5,0,30.06,66,2.06
2025-09-26 18:12:29.114751,Karol Bagh,28.6517,77.1907,162,162,77,7,17.5,1.5,0,29.97,66,2.06
2025-09-26 18:12:29.751850,Chandni Chowk,28.6562,77.23,162,162,77,7,17.5,1.5,0,30.01,66,2.06
2025-09-26 18:12:30.400814,Dwarka,28.5921,77.046,132,132,119,32.5,7.9,5.2,0,30.1,66,2.06
